Agro-Ecological Zone Compatibility,Pest disease vulnerability,Water irrigation reliability,Post Harvest Storage,Market Access,Planting/Sowing Time,Farmer experience,Cooperative Membership,Input Access and Affordability,AEZ_Score,Pest_Score,Water_Score,Storage_Score,Market_Score,Planting_Score,Experience_Score,Coop_Score,Input_Score,Risk Factor,Crop Type,Farmer ID,Farm Location,Price,Gender,Farm size,Previous Yield Output (Kgs),Persons with disability,Age
Low,High,Moderate,Yes,No,Low,>9 years,Yes,Yes,1.0,1.0,0.5,0,1,1,0.0,0,0,0.65,Maize,FARM_1033,Turkana,55.61,Male,34.57,66715,No,42
High,Moderate,High,Yes,Yes,High,>9 years,Yes,Yes,0.0,0.5,0.0,0,0,0,0.0,0,0,0.085,Maize,FARM_1034,Garissa,55.61,Male,92.75,147424,No,53
Low,Moderate,Low,No,Yes,High,<1 year,No,Yes,1.0,0.5,1.0,1,0,0,0.5,1,0,0.6250000000000001,Beans,FARM_1035,Kakamega,137.27,Female,36.42,29172,No,67
High,Moderate,High,No,Yes,Low,>9 years,No,Yes,0.0,0.5,0.0,1,0,1,0.0,1,0,0.365,Beans,FARM_1036,Nyamira,137.27,Female,14.46,33392,No,81
Moderate,Moderate,Moderate,No,Yes,High,5-9 years,No,Yes,0.5,0.5,0.5,1,0,0,0.0,1,0,0.425,Beans,FARM_1037,Kakamega,137.27,Female,6.76,8118,No,60
High,High,Low,No,No,Low,5-9 years,Yes,Yes,0.0,1.0,1.0,1,1,1,0.0,0,0,0.67,Beans,FARM_1038,Kajiado,137.27,Male,85.88,81650,No,87
High,Low,High,No,No,High,>9 years,Yes,Yes,0.0,0.0,0.0,1,1,0,0.0,0,0,0.26,Maize,FARM_1039,Kisumu,55.61,Male,6.82,6417,No,27
Moderate,High,High,Yes,No,Low,<1 year,Yes,Yes,0.5,1.0,0.0,0,1,1,0.5,0,0,0.53,Maize,FARM_1040,Nyamira,55.61,Male,28.45,42005,No,46
High,Moderate,Moderate,No,Yes,High,>9 years,Yes,Yes,0.0,0.5,0.5,1,0,0,0.0,0,0,0.285,Beans,FARM_1041,Kirinyaga,137.27,Male,79.27,134797,No,34
High,High,Moderate,Yes,No,High,1-4 years,Yes,Yes,0.0,1.0,0.5,0,1,0,0.5,0,0,0.41,Maize,FARM_1042,Vihiga,55.61,Male,84.76,122270,No,55
High,Low,Low,Yes,Yes,Low,>9 years,Yes,Yes,0.0,0.0,1.0,0,0,1,0.0,0,0,0.24,Beans,FARM_1043,Kajiado,137.27,Male,88.93,186472,No,32
Moderate,Low,High,Yes,Yes,High,>9 years,Yes,Yes,0.5,0.0,0.0,0,0,0,0.0,0,0,0.09,Beans,FARM_1044,Trans-Nzoia,137.27,Male,70.57,67954,No,20
Moderate,Moderate,High,No,Yes,High,1-4 years,No,Yes,0.5,0.5,0.0,1,0,0,0.5,1,0,0.3949999999999999,Beans,FARM_1045,Bungoma,137.27,Female,11.6,23923,No,24
Moderate,Low,Moderate,Yes,No,Low,1-4 years,Yes,Yes,0.5,0.0,0.5,0,1,1,0.5,0,0,0.43,Beans,FARM_1046,Embu,137.27,Female,13.33,17066,Yes,18
Low,Low,High,No,Yes,High,1-4 years,Yes,Yes,1.0,0.0,0.0,1,0,0,0.5,0,0,0.35,Maize,FARM_1047,Samburu,55.61,Female,14.52,21350,Yes,60
Low,Moderate,Low,Yes,Yes,Low,>9 years,Yes,Yes,1.0,0.5,1.0,0,0,1,0.0,0,0,0.505,Beans,FARM_1048,West Pokot,137.27,Male,18.33,30480,No,90
High,Low,High,Yes,No,High,>9 years,No,No,0.0,0.0,0.0,0,1,0,0.0,1,1,0.1999999999999999,Maize,FARM_1049,Murang'a,55.61,Female,63.52,68141,No,81
Moderate,Low,Moderate,No,Yes,Low,>9 years,Yes,Yes,0.5,0.0,0.5,1,0,1,0.0,0,0,0.39,Beans,FARM_1050,Laikipia,137.27,Female,86.63,110833,No,74
Low,Low,High,Yes,Yes,Low,1-4 years,Yes,No,1.0,0.0,0.0,0,0,1,0.5,0,1,0.34,Beans,FARM_1051,Kisumu,137.27,Female,68.87,181138,No,57
High,High,Low,Yes,Yes,High,>9 years,Yes,Yes,0.0,1.0,1.0,0,0,0,0.0,0,0,0.31,Beans,FARM_1052,Nyamira,137.27,Male,5.27,11219,No,64
High,Moderate,Moderate,Yes,Yes,High,>9 years,No,Yes,0.0,0.5,0.5,0,0,0,0.0,1,0,0.205,Maize,FARM_1053,Makueni,55.61,Male,23.57,42123,Yes,22
High,Moderate,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.5,0.5,0,0,0,0.0,0,0,0.155,Maize,FARM_1054,Nyamira,55.61,Female,20.35,39667,Yes,20
High,Moderate,Low,Yes,Yes,High,>9 years,Yes,Yes,0.0,0.5,1.0,0,0,0,0.0,0,0,0.225,Maize,FARM_1055,Nyandarua,55.61,Female,32.47,73752,No,38
High,Low,Moderate,No,Yes,Low,5-9 years,No,Yes,0.0,0.0,0.5,1,0,1,0.0,1,0,0.35,Maize,FARM_1056,Homa Bay,55.61,Female,35.58,50491,No,58
Moderate,Low,Low,No,Yes,Low,5-9 years,Yes,Yes,0.5,0.0,1.0,1,0,1,0.0,0,0,0.4599999999999999,Maize,FARM_1057,Nyamira,55.61,Male,95.05,234391,Yes,90
Low,High,High,Yes,No,Low,1-4 years,Yes,Yes,1.0,1.0,0.0,0,1,1,0.5,0,0,0.62,Beans,FARM_1058,Kakamega,137.27,Male,26.83,19128,Yes,41
Moderate,Low,Moderate,Yes,Yes,Low,5-9 years,Yes,Yes,0.5,0.0,0.5,0,0,1,0.0,0,0,0.26,Maize,FARM_1059,Nakuru,55.61,Female,33.51,88099,No,89
High,Low,Moderate,No,Yes,Low,1-4 years,Yes,No,0.0,0.0,0.5,1,0,1,0.5,0,1,0.36,Maize,FARM_1060,Kirinyaga,55.61,Male,72.33,174076,No,34
Moderate,Moderate,Moderate,Yes,No,High,>9 years,Yes,Yes,0.5,0.5,0.5,0,1,0,0.0,0,0,0.375,Beans,FARM_1061,Migori,137.27,Male,73.54,116598,No,18
High,Moderate,High,No,No,High,1-4 years,Yes,Yes,0.0,0.5,0.0,1,1,0,0.5,0,0,0.385,Beans,FARM_1062,Siaya,137.27,Female,6.37,11038,No,81
High,Moderate,High,Yes,Yes,Low,1-4 years,No,Yes,0.0,0.5,0.0,0,0,1,0.5,1,0,0.275,Maize,FARM_1063,Kwale,55.61,Female,21.91,19434,No,88
Moderate,Moderate,Moderate,No,Yes,Low,>9 years,Yes,Yes,0.5,0.5,0.5,1,0,1,0.0,0,0,0.475,Maize,FARM_1064,Uasin Gishu,55.61,Female,94.48,178691,Yes,51
High,High,High,No,Yes,Low,>9 years,No,Yes,0.0,1.0,0.0,1,0,1,0.0,1,0,0.45,Maize,FARM_1065,Elgeyo-Marakwet,55.61,Male,21.26,56362,No,31
Low,High,Moderate,Yes,Yes,High,>9 years,Yes,No,1.0,1.0,0.5,0,0,0,0.0,0,1,0.44,Maize,FARM_1066,Kericho,55.61,Male,77.66,54635,No,19
Moderate,Moderate,Low,No,Yes,High,<1 year,Yes,Yes,0.5,0.5,1.0,1,0,0,0.5,0,0,0.485,Maize,FARM_1067,Bomet,55.61,Female,70.85,192097,No,37
High,Moderate,High,Yes,No,High,5-9 years,Yes,Yes,0.0,0.5,0.0,0,1,0,0.0,0,0,0.215,Beans,FARM_1068,Nyamira,137.27,Male,8.11,23657,Yes,40
High,Low,High,Yes,Yes,High,>9 years,Yes,Yes,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,Beans,FARM_1069,Tana River,137.27,Male,12.47,26906,No,47
Moderate,Moderate,Low,Yes,Yes,High,>9 years,No,No,0.5,0.5,1.0,0,0,0,0.0,1,1,0.385,Beans,FARM_1070,Nandi,137.27,Female,23.29,19990,No,46
Moderate,Moderate,Low,Yes,Yes,Low,5-9 years,Yes,Yes,0.5,0.5,1.0,0,0,1,0.0,0,0,0.415,Maize,FARM_1071,Nandi,55.61,Male,11.6,10600,No,74
Low,Moderate,High,Yes,No,High,<1 year,Yes,Yes,1.0,0.5,0.0,0,1,0,0.5,0,0,0.435,Maize,FARM_1072,Elgeyo-Marakwet,55.61,Female,28.24,43223,No,54
Moderate,Moderate,High,No,No,High,5-9 years,Yes,Yes,0.5,0.5,0.0,1,1,0,0.0,0,0,0.435,Beans,FARM_1073,Vihiga,137.27,Male,82.89,146957,No,64
High,Moderate,Moderate,Yes,No,High,1-4 years,No,Yes,0.0,0.5,0.5,0,1,0,0.5,1,0,0.375,Maize,FARM_1074,Makueni,55.61,Male,93.83,109165,No,79
Moderate,Moderate,Low,Yes,Yes,High,5-9 years,Yes,Yes,0.5,0.5,1.0,0,0,0,0.0,0,0,0.315,Maize,FARM_1075,Nairobi,55.61,Male,12.18,36435,No,49
High,High,High,No,Yes,High,>9 years,Yes,Yes,0.0,1.0,0.0,1,0,0,0.0,0,0,0.3,Beans,FARM_1076,Kitui,137.27,Male,15.08,29668,No,80
High,Moderate,Moderate,Yes,Yes,High,<1 year,No,Yes,0.0,0.5,0.5,0,0,0,0.5,1,0,0.245,Maize,FARM_1077,Bungoma,55.61,Male,31.75,32493,No,54
Low,Moderate,High,No,Yes,Low,5-9 years,Yes,No,1.0,0.5,0.0,1,0,1,0.0,0,1,0.515,Beans,FARM_1078,Nyeri,137.27,Male,14.36,24236,No,18
High,High,Moderate,Yes,Yes,Low,>9 years,Yes,No,0.0,1.0,0.5,0,0,1,0.0,0,1,0.36,Maize,FARM_1079,Uasin Gishu,55.61,Female,18.31,16221,No,59
High,Moderate,High,Yes,Yes,Low,1-4 years,Yes,Yes,0.0,0.5,0.0,0,0,1,0.5,0,0,0.225,Beans,FARM_1080,Marsabit,137.27,Female,8.51,13976,No,81
High,Moderate,Low,Yes,No,Low,>9 years,No,Yes,0.0,0.5,1.0,0,1,1,0.0,1,0,0.5050000000000001,Beans,FARM_1081,Nyandarua,137.27,Male,1.22,2130,No,21
Moderate,High,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.5,1.0,0.5,0,0,0,0.0,0,0,0.33,Maize,FARM_1082,Marsabit,55.61,Male,30.02,78117,Yes,40
High,Low,High,Yes,No,High,<1 year,Yes,Yes,0.0,0.0,0.0,0,1,0,0.5,0,0,0.17,Maize,FARM_1083,Embu,55.61,Female,78.69,86662,No,84
Moderate,Low,Moderate,Yes,Yes,High,>9 years,Yes,Yes,0.5,0.0,0.5,0,0,0,0.0,0,0,0.16,Beans,FARM_1084,Wajir,137.27,Female,12.52,18483,No,76
High,Low,High,No,Yes,Low,5-9 years,Yes,Yes,0.0,0.0,0.0,1,0,1,0.0,0,0,0.23,Maize,FARM_1085,Isiolo,55.61,Male,16.86,45086,No,28
High,High,High,No,Yes,High,1-4 years,Yes,Yes,0.0,1.0,0.0,1,0,0,0.5,0,0,0.34,Maize,FARM_1086,Nyeri,55.61,Female,9.64,7020,No,36
High,High,Low,Yes,No,High,1-4 years,Yes,Yes,0.0,1.0,1.0,0,1,0,0.5,0,0,0.48,Maize,FARM_1087,Narok,55.61,Male,85.87,160844,No,24
High,Low,Moderate,Yes,Yes,Low,1-4 years,Yes,Yes,0.0,0.0,0.5,0,0,1,0.5,0,0,0.21,Beans,FARM_1088,Samburu,137.27,Female,87.09,175179,No,24
High,Low,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.0,0.5,0,0,0,0.0,0,0,0.07,Maize,FARM_1089,Samburu,55.61,Male,11.85,28704,No,26
Low,Moderate,Moderate,Yes,Yes,High,>9 years,Yes,Yes,1.0,0.5,0.5,0,0,0,0.0,0,0,0.335,Beans,FARM_1090,Migori,137.27,Male,18.7,39847,No,32
Moderate,Low,Moderate,Yes,No,High,>9 years,No,Yes,0.5,0.0,0.5,0,1,0,0.0,1,0,0.34,Maize,FARM_1091,Nyandarua,55.61,Female,7.92,22039,No,69
Moderate,Low,Low,Yes,No,Low,5-9 years,No,Yes,0.5,0.0,1.0,0,1,1,0.0,1,0,0.51,Maize,FARM_1092,Nairobi,55.61,Female,25.36,58807,No,62
High,Low,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.0,0.5,0,0,0,0.0,0,0,0.07,Beans,FARM_1093,Nandi,137.27,Female,87.49,107591,No,66
High,Moderate,High,Yes,Yes,High,5-9 years,Yes,No,0.0,0.5,0.0,0,0,0,0.0,0,1,0.105,Beans,FARM_1094,Meru,137.27,Male,23.99,36259,No,49
Moderate,High,Low,No,Yes,Low,>9 years,Yes,Yes,0.5,1.0,1.0,1,0,1,0.0,0,0,0.63,Maize,FARM_1095,Tana River,55.61,Male,79.09,159757,No,29
Moderate,High,High,Yes,Yes,High,<1 year,No,Yes,0.5,1.0,0.0,0,0,0,0.5,1,0,0.35,Maize,FARM_1096,Wajir,55.61,Male,17.31,32653,No,76
Moderate,High,Low,No,Yes,High,1-4 years,No,No,0.5,1.0,1.0,1,0,0,0.5,1,1,0.6400000000000001,Maize,FARM_1097,Kakamega,55.61,Female,87.58,119338,No,48
High,High,Low,Yes,No,High,5-9 years,No,Yes,0.0,1.0,1.0,0,1,0,0.0,1,0,0.49,Maize,FARM_1098,Bungoma,55.61,Male,71.66,65529,Yes,22
Moderate,High,High,Yes,No,High,5-9 years,Yes,Yes,0.5,1.0,0.0,0,1,0,0.0,0,0,0.39,Beans,FARM_1099,Kericho,137.27,Female,21.66,55392,No,49
High,High,Moderate,No,No,High,<1 year,Yes,Yes,0.0,1.0,0.5,1,1,0,0.5,0,0,0.54,Maize,FARM_1100,Embu,55.61,Female,17.39,14448,No,61
High,Moderate,Moderate,Yes,Yes,Low,>9 years,Yes,No,0.0,0.5,0.5,0,0,1,0.0,0,1,0.275,Maize,FARM_1101,Murang'a,55.61,Female,91.41,183941,No,24
High,Moderate,High,No,Yes,Low,5-9 years,Yes,Yes,0.0,0.5,0.0,1,0,1,0.0,0,0,0.315,Maize,FARM_1102,Nakuru,55.61,Male,81.24,107582,No,62
High,Low,High,Yes,Yes,Low,<1 year,Yes,Yes,0.0,0.0,0.0,0,0,1,0.5,0,0,0.14,Beans,FARM_1103,Baringo,137.27,Male,20.42,31830,No,21
High,Moderate,Moderate,Yes,Yes,High,>9 years,Yes,Yes,0.0,0.5,0.5,0,0,0,0.0,0,0,0.155,Maize,FARM_1104,Kakamega,55.61,Male,73.91,124748,No,54
High,Low,Low,No,Yes,Low,>9 years,No,No,0.0,0.0,1.0,1,0,1,0.0,1,1,0.44,Beans,FARM_1105,Siaya,137.27,Male,28.54,66893,No,18
High,Moderate,Moderate,Yes,No,High,5-9 years,Yes,Yes,0.0,0.5,0.5,0,1,0,0.0,0,0,0.285,Beans,FARM_1106,Kisii,137.27,Male,21.36,31750,No,63
High,High,Moderate,Yes,Yes,High,1-4 years,Yes,Yes,0.0,1.0,0.5,0,0,0,0.5,0,0,0.28,Beans,FARM_1107,Kirinyaga,137.27,Male,14.23,21400,No,22
High,Low,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.0,0.5,0,0,0,0.0,0,0,0.07,Beans,FARM_1108,Kericho,137.27,Male,6.81,20282,No,21
High,Low,Moderate,No,Yes,High,<1 year,Yes,Yes,0.0,0.0,0.5,1,0,0,0.5,0,0,0.24,Maize,FARM_1109,Tharaka Nithi,55.61,Male,14.51,34642,No,33
Low,Moderate,Low,Yes,Yes,Low,>9 years,No,Yes,1.0,0.5,1.0,0,0,1,0.0,1,0,0.555,Maize,FARM_1110,Samburu,55.61,Female,11.93,15560,No,20
Low,Moderate,High,No,Yes,Low,>9 years,Yes,Yes,1.0,0.5,0.0,1,0,1,0.0,0,0,0.495,Beans,FARM_1111,Elgeyo-Marakwet,137.27,Male,70.84,88002,No,28
High,Moderate,High,No,Yes,Low,5-9 years,No,Yes,0.0,0.5,0.0,1,0,1,0.0,1,0,0.365,Beans,FARM_1112,Nyamira,137.27,Female,78.96,61085,No,23
High,Moderate,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.5,0.5,0,0,0,0.0,0,0,0.155,Maize,FARM_1113,Bomet,55.61,Male,8.49,11601,No,20
High,Low,High,Yes,Yes,High,1-4 years,Yes,Yes,0.0,0.0,0.0,0,0,0,0.5,0,0,0.04,Beans,FARM_1114,Kirinyaga,137.27,Male,22.32,46850,No,47
Moderate,Moderate,Moderate,No,No,High,5-9 years,Yes,Yes,0.5,0.5,0.5,1,1,0,0.0,0,0,0.505,Maize,FARM_1115,Meru,55.61,Male,27.56,26290,No,38
High,Low,High,Yes,Yes,Low,1-4 years,Yes,Yes,0.0,0.0,0.0,0,0,1,0.5,0,0,0.14,Beans,FARM_1116,Turkana,137.27,Male,27.32,48285,No,40
Low,High,High,Yes,No,High,>9 years,No,No,1.0,1.0,0.0,0,1,0,0.0,1,1,0.55,Maize,FARM_1117,Nairobi,55.61,Male,10.33,17445,No,25
Moderate,Low,Moderate,Yes,No,Low,1-4 years,No,Yes,0.5,0.0,0.5,0,1,1,0.5,1,0,0.48,Maize,FARM_1118,Kajiado,55.61,Male,83.15,97147,Yes,48
Moderate,Moderate,Moderate,Yes,No,High,5-9 years,Yes,Yes,0.5,0.5,0.5,0,1,0,0.0,0,0,0.375,Beans,FARM_1119,Kitui,137.27,Male,76.7,84489,No,87
Low,Moderate,Low,Yes,No,Low,5-9 years,No,Yes,1.0,0.5,1.0,0,1,1,0.0,1,0,0.685,Beans,FARM_1120,Machakos,137.27,Male,77.79,159619,No,66
Low,Moderate,High,Yes,No,High,5-9 years,No,Yes,1.0,0.5,0.0,0,1,0,0.0,1,0,0.445,Beans,FARM_1121,Kakamega,137.27,Male,21.3,26630,No,22
Moderate,Moderate,Moderate,Yes,Yes,Low,5-9 years,Yes,Yes,0.5,0.5,0.5,0,0,1,0.0,0,0,0.345,Beans,FARM_1122,Bungoma,137.27,Male,15.55,16551,No,89
High,High,Low,Yes,Yes,Low,>9 years,Yes,No,0.0,1.0,1.0,0,0,1,0.0,0,1,0.43,Maize,FARM_1123,Uasin Gishu,55.61,Female,79.67,113316,No,29
Low,High,Low,Yes,Yes,Low,1-4 years,No,No,1.0,1.0,1.0,0,0,1,0.5,1,1,0.7000000000000001,Maize,FARM_1124,Lamu,55.61,Male,15.75,25158,Yes,23
High,High,Moderate,No,Yes,High,1-4 years,Yes,No,0.0,1.0,0.5,1,0,0,0.5,0,1,0.43,Maize,FARM_1125,Isiolo,55.61,Male,4.24,6029,Yes,37
High,Moderate,Low,No,Yes,Low,5-9 years,Yes,Yes,0.0,0.5,1.0,1,0,1,0.0,0,0,0.455,Maize,FARM_1126,Baringo,55.61,Female,93.76,250000,No,80
Moderate,High,High,No,Yes,High,5-9 years,Yes,Yes,0.5,1.0,0.0,1,0,0,0.0,0,0,0.39,Maize,FARM_1127,Kakamega,55.61,Male,17.78,26890,No,84
Moderate,Moderate,High,No,Yes,High,>9 years,No,Yes,0.5,0.5,0.0,1,0,0,0.0,1,0,0.355,Maize,FARM_1128,Nyamira,55.61,Male,19.49,34693,No,65
Moderate,Low,Moderate,Yes,Yes,High,>9 years,No,Yes,0.5,0.0,0.5,0,0,0,0.0,1,0,0.21,Maize,FARM_1129,Narok,55.61,Male,80.67,121443,No,57
Low,Moderate,Moderate,Yes,Yes,Low,>9 years,Yes,Yes,1.0,0.5,0.5,0,0,1,0.0,0,0,0.435,Maize,FARM_1130,Migori,55.61,Male,85.44,150431,No,56
High,Low,Moderate,Yes,Yes,High,5-9 years,No,Yes,0.0,0.0,0.5,0,0,0,0.0,1,0,0.12,Maize,FARM_1131,Machakos,55.61,Male,13.59,18772,No,73
High,Moderate,Moderate,Yes,No,High,<1 year,Yes,Yes,0.0,0.5,0.5,0,1,0,0.5,0,0,0.325,Maize,FARM_1132,Migori,55.61,Male,85.35,91382,No,89
Low,Moderate,Moderate,No,Yes,High,<1 year,Yes,Yes,1.0,0.5,0.5,1,0,0,0.5,0,0,0.505,Maize,FARM_1133,Bomet,55.61,Male,23.63,45431,No,21
High,Low,High,Yes,No,High,1-4 years,Yes,Yes,0.0,0.0,0.0,0,1,0,0.5,0,0,0.17,Maize,FARM_1134,Laikipia,55.61,Female,77.55,63478,No,73
High,Moderate,High,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.5,0.0,0,0,0,0.0,0,0,0.085,Beans,FARM_1135,Laikipia,137.27,Male,75.87,106985,No,87
Moderate,High,Moderate,No,Yes,High,5-9 years,Yes,Yes,0.5,1.0,0.5,1,0,0,0.0,0,0,0.46,Beans,FARM_1136,Marsabit,137.27,Female,10.25,29821,No,19
High,High,High,Yes,Yes,Low,5-9 years,No,Yes,0.0,1.0,0.0,0,0,1,0.0,1,0,0.32,Maize,FARM_1137,Kericho,55.61,Male,74.44,94872,No,20
Moderate,Moderate,Moderate,No,No,Low,5-9 years,No,Yes,0.5,0.5,0.5,1,1,1,0.0,1,0,0.655,Beans,FARM_1138,Kericho,137.27,Male,21.04,60267,No,25
High,Moderate,High,Yes,No,Low,>9 years,Yes,Yes,0.0,0.5,0.0,0,1,1,0.0,0,0,0.315,Maize,FARM_1139,Taita Taveta,55.61,Female,95.45,101009,No,70
High,Moderate,High,Yes,No,High,1-4 years,Yes,Yes,0.0,0.5,0.0,0,1,0,0.5,0,0,0.255,Maize,FARM_1140,Nyeri,55.61,Female,26.29,41156,No,64
Low,High,High,Yes,Yes,High,1-4 years,Yes,Yes,1.0,1.0,0.0,0,0,0,0.5,0,0,0.3899999999999999,Maize,FARM_1141,Marsabit,55.61,Male,85.89,82372,No,47
Moderate,High,Moderate,Yes,Yes,Low,<1 year,Yes,Yes,0.5,1.0,0.5,0,0,1,0.5,0,0,0.47,Maize,FARM_1142,Meru,55.61,Male,21.25,30134,No,25
Moderate,High,High,Yes,No,High,1-4 years,Yes,No,0.5,1.0,0.0,0,1,0,0.5,0,1,0.45,Beans,FARM_1143,West Pokot,137.27,Male,18.48,50134,No,26
Moderate,Moderate,High,Yes,Yes,High,>9 years,No,Yes,0.5,0.5,0.0,0,0,0,0.0,1,0,0.2249999999999999,Maize,FARM_1144,Bungoma,55.61,Female,10.4,13816,No,37
High,High,High,Yes,Yes,High,1-4 years,Yes,Yes,0.0,1.0,0.0,0,0,0,0.5,0,0,0.21,Maize,FARM_1145,Siaya,55.61,Female,10.58,25371,No,54
High,Moderate,Low,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.5,1.0,0,0,0,0.0,0,0,0.225,Maize,FARM_1146,Mombasa,55.61,Male,5.12,5631,No,40
High,Moderate,Low,Yes,Yes,High,>9 years,Yes,Yes,0.0,0.5,1.0,0,0,0,0.0,0,0,0.225,Maize,FARM_1147,Kisii,55.61,Male,26.67,53077,Yes,85
High,Moderate,Low,Yes,No,High,>9 years,Yes,Yes,0.0,0.5,1.0,0,1,0,0.0,0,0,0.355,Maize,FARM_1148,Tana River,55.61,Male,29.4,81604,No,41
High,Low,High,No,Yes,High,5-9 years,No,No,0.0,0.0,0.0,1,0,0,0.0,1,1,0.1999999999999999,Maize,FARM_1149,Taita Taveta,55.61,Male,18.38,46280,No,44
High,Low,High,No,Yes,Low,<1 year,No,No,0.0,0.0,0.0,1,0,1,0.5,1,1,0.34,Maize,FARM_1150,Samburu,55.61,Male,24.44,44962,No,82
Moderate,Low,Moderate,Yes,Yes,Low,<1 year,Yes,Yes,0.5,0.0,0.5,0,0,1,0.5,0,0,0.3,Maize,FARM_1151,Nandi,55.61,Male,70.66,117068,No,87
High,Moderate,High,Yes,Yes,High,>9 years,No,Yes,0.0,0.5,0.0,0,0,0,0.0,1,0,0.135,Beans,FARM_1152,Nyamira,137.27,Male,16.33,28155,No,52
High,Low,Low,Yes,Yes,Low,>9 years,Yes,Yes,0.0,0.0,1.0,0,0,1,0.0,0,0,0.24,Maize,FARM_1153,Isiolo,55.61,Male,20.21,42977,No,85
Moderate,Moderate,High,Yes,Yes,High,>9 years,Yes,Yes,0.5,0.5,0.0,0,0,0,0.0,0,0,0.175,Maize,FARM_1154,Trans-Nzoia,55.61,Male,16.13,36113,No,83
Low,Low,Moderate,No,No,High,>9 years,Yes,Yes,1.0,0.0,0.5,1,1,0,0.0,0,0,0.51,Maize,FARM_1155,Kitui,55.61,Female,76.67,130841,No,18
High,Moderate,Low,Yes,Yes,Low,>9 years,No,Yes,0.0,0.5,1.0,0,0,1,0.0,1,0,0.375,Beans,FARM_1156,Vihiga,137.27,Male,17.58,38033,No,29
Low,High,Moderate,Yes,Yes,Low,>9 years,Yes,Yes,1.0,1.0,0.5,0,0,1,0.0,0,0,0.52,Maize,FARM_1157,Bungoma,55.61,Male,66.34,90494,No,72
Low,Moderate,High,Yes,Yes,High,1-4 years,No,Yes,1.0,0.5,0.0,0,0,0,0.5,1,0,0.355,Maize,FARM_1158,Meru,55.61,Female,26.89,36802,No,77
Low,Low,High,No,Yes,Low,5-9 years,No,Yes,1.0,0.0,0.0,1,0,1,0.0,1,0,0.46,Maize,FARM_1159,Nandi,55.61,Female,62.35,182775,No,68
Moderate,Moderate,Moderate,Yes,No,Low,5-9 years,Yes,Yes,0.5,0.5,0.5,0,1,1,0.0,0,0,0.475,Beans,FARM_1160,Nyeri,137.27,Male,94.59,218911,No,35
Low,Moderate,Low,Yes,Yes,High,>9 years,Yes,Yes,1.0,0.5,1.0,0,0,0,0.0,0,0,0.405,Maize,FARM_1161,Murang'a,55.61,Male,79.35,119768,No,59
High,Moderate,Low,No,Yes,High,>9 years,Yes,Yes,0.0,0.5,1.0,1,0,0,0.0,0,0,0.355,Beans,FARM_1162,West Pokot,137.27,Male,75.11,91735,No,31
High,Low,Low,Yes,Yes,Low,5-9 years,Yes,Yes,0.0,0.0,1.0,0,0,1,0.0,0,0,0.24,Maize,FARM_1163,Kisumu,55.61,Male,16.78,22614,No,26
Moderate,High,Low,Yes,Yes,High,>9 years,Yes,No,0.5,1.0,1.0,0,0,0,0.0,0,1,0.42,Beans,FARM_1164,Meru,137.27,Male,29.45,52877,No,21
Moderate,High,Moderate,Yes,Yes,High,<1 year,No,Yes,0.5,1.0,0.5,0,0,0,0.5,1,0,0.42,Beans,FARM_1165,Mombasa,137.27,Male,16.43,22077,No,82
High,Moderate,High,No,Yes,Low,1-4 years,No,Yes,0.0,0.5,0.0,1,0,1,0.5,1,0,0.405,Maize,FARM_1166,Nairobi,55.61,Male,63.35,66436,No,87
High,Moderate,High,No,Yes,High,<1 year,No,Yes,0.0,0.5,0.0,1,0,0,0.5,1,0,0.305,Maize,FARM_1167,Kericho,55.61,Female,34.02,31629,No,71
Moderate,Low,High,Yes,No,Low,5-9 years,Yes,Yes,0.5,0.0,0.0,0,1,1,0.0,0,0,0.32,Maize,FARM_1168,Elgeyo-Marakwet,55.61,Male,17.61,22973,No,23
High,Moderate,High,No,Yes,High,1-4 years,No,Yes,0.0,0.5,0.0,1,0,0,0.5,1,0,0.305,Beans,FARM_1169,Nakuru,137.27,Female,21.37,40313,No,19
Moderate,High,Moderate,No,Yes,High,1-4 years,Yes,Yes,0.5,1.0,0.5,1,0,0,0.5,0,0,0.5,Maize,FARM_1170,Vihiga,55.61,Male,63.21,171527,Yes,24
Moderate,Moderate,Moderate,Yes,No,High,5-9 years,Yes,No,0.5,0.5,0.5,0,1,0,0.0,0,1,0.395,Beans,FARM_1171,Kakamega,137.27,Male,14.43,23894,No,65
Moderate,High,High,Yes,No,High,>9 years,No,Yes,0.5,1.0,0.0,0,1,0,0.0,1,0,0.44,Beans,FARM_1172,Vihiga,137.27,Male,92.13,98000,No,36
High,High,Moderate,Yes,Yes,Low,<1 year,Yes,Yes,0.0,1.0,0.5,0,0,1,0.5,0,0,0.38,Maize,FARM_1173,Kisumu,55.61,Female,1.39,3420,Yes,22
